VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-02-01 00:00:12,2016-02-01 00:09:01,1,2.74,-73.975959777832031,40.759979248046875,1,N,-74.004531860351563,40.734718322753906,1,10.5,0.5,0.5,2.95,0,0.3,14.75
2,2016-02-01 00:00:13,2016-02-01 00:09:44,1,2.06,-73.983360290527344,40.738914489746094,1,N,-73.99017333984375,40.756881713867188,1,9,0.5,0.5,0,0,0.3,10.3
2,2016-02-01 00:00:13,2016-02-01 00:10:19,6,2.52,-73.993515014648437,40.721271514892578,1,N,-73.984527587890625,40.751056671142578,1,10,0.5,0.5,2.26,0,0.3,13.56
1,2016-02-01 00:00:14,2016-02-01 00:10:47,1,2.20,-73.990760803222656,40.750782012939453,1,N,-73.990196228027344,40.727336883544922,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2016-02-01 00:00:15,2016-02-01 00:01:53,1,.40,-74.001625061035156,40.727436065673828,1,N,-74.000869750976563,40.731983184814453,1,3.5,0.5,0.5,1,0,0.3,5.8
1,2016-02-01 00:00:15,2016-02-01 00:11:16,3,1.60,-73.932754516601562,40.752986907958984,1,N,-73.915565490722656,40.742576599121094,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2016-02-01 00:00:15,2016-02-01 00:10:05,1,3.40,-73.984283447265625,40.743328094482422,1,N,-73.950202941894531,40.779056549072266,2,12,0.5,0.5,0,0,0.3,13.3
1,2016-02-01 00:00:18,2016-02-01 00:09:53,1,1.50,-74.000930786132813,40.730865478515625,1,N,-74.010841369628906,40.720329284667969,4,8.5,0.5,0.5,0,0,0.3,9.8
1,2016-02-01 00:00:18,2016-02-01 00:06:29,1,1.30,-73.987159729003906,40.765941619873047,1,N,-73.991668701171875,40.751228332519531,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,2016-02-01 00:00:18,2016-02-01 00:05:37,1,1.40,-73.988517761230469,40.7459716796875,1,N,-74.000328063964844,40.730236053466797,1,6,0.5,0.5,0.1,0,0.3,7.4
2,2016-02-01 00:00:18,2016-02-01 00:27:01,2,18.66,-73.790496826171875,40.646591186523438,2,N,-74.004066467285156,40.729869842529297,1,52,0,0.5,10.56,0,0.3,63.36
1,2016-02-01 00:00:19,2016-02-01 00:09:14,1,1.50,-73.984268188476562,40.759693145751953,1,N,-73.974250793457031,40.761623382568359,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2016-02-01 00:00:21,2016-02-01 00:17:26,6,8.72,-73.870864868164062,40.773796081542969,1,N,-73.9537353515625,40.766559600830078,1,25,0.5,0.5,7.96,5.54,0.3,39.8
1,2016-02-01 00:00:24,2016-02-01 00:07:58,1,2.40,-73.962844848632813,40.762802124023438,1,N,-73.928268432617187,40.755771636962891,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2016-02-01 00:00:24,2016-02-01 00:16:17,1,4.60,-73.95654296875,40.747447967529297,1,N,-73.986846923828125,40.770153045654297,1,16.5,0.5,0.5,3.55,0,0.3,21.35
2,2016-02-01 00:00:24,2016-02-01 00:08:45,1,1.65,-74.000297546386719,40.73516845703125,1,N,-74.003837585449219,40.716838836669922,1,8,0.5,0.5,2.79,0,0.3,12.09
1,2016-02-01 00:00:25,2016-02-01 00:10:56,1,3.70,-73.933937072753906,40.751556396484375,1,N,-73.989021301269531,40.757125854492188,1,13,0.5,0.5,2,0,0.3,16.3
2,2016-02-01 00:00:26,2016-02-01 00:04:32,3,.73,-74.003608703613281,40.751842498779297,1,N,-74.00115966796875,40.746376037597656,1,5,0.5,0.5,1.26,0,0.3,7.56
1,2016-02-01 00:00:27,2016-02-01 00:15:36,1,4.50,-73.983901977539062,40.755043029785156,1,N,-73.926780700683594,40.765972137451172,2,15.5,0.5,0.5,0,0,0.3,16.8
2,2016-02-01 00:00:27,2016-02-01 00:32:26,1,18.69,-73.781326293945313,40.646713256835938,2,N,-74.00201416015625,40.741981506347656,1,52,0,0.5,11.67,5.54,0.3,70.01
1,2016-02-01 00:00:28,2016-02-01 00:17:10,2,4.80,-74.004051208496094,40.723953247070313,1,N,-73.939468383789063,40.724033355712891,1,16.5,0.5,0.5,4.45,0,0.3,22.25
1,2016-02-01 00:00:29,2016-02-01 00:08:40,1,1.70,-73.977035522460938,40.743099212646484,1,N,-73.992683410644531,40.758529663085937,1,8.5,0.5,0.5,2.45,0,0.3,12.25
2,2016-02-01 00:00:29,2016-02-01 00:16:23,6,4.09,-73.987091064453125,40.725139617919922,1,N,-73.945716857910156,40.699569702148438,1,15,0.5,0.5,4.08,0,0.3,20.38
2,2016-02-01 00:00:31,2016-02-01 00:13:20,1,2.50,-73.993919372558594,40.735309600830078,1,N,-73.971298217773438,40.758548736572266,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,2016-02-01 00:00:31,2016-02-01 00:06:46,1,1.14,-74.00433349609375,40.752643585205078,1,N,-73.993278503417969,40.743122100830078,2,6.5,0.5,0.5,0,0,0.3,7.8
